layer,pooling,cv_mean_accuracy,cv_std_accuracy,test_accuracy,test_auroc,n_train,n_test
0,last_token,0.5193749999999999,0.011759304826391741,0.51,0.5191375,1600,400
1,last_token,0.811875,0.01889527057228873,0.84,0.90705,1600,400
2,last_token,0.8243750000000001,0.014973935688388684,0.82,0.905425,1600,400
3,last_token,0.8125,0.021650635094610935,0.8575,0.9033125000000001,1600,400
4,last_token,0.8206249999999999,0.02656066170109471,0.86,0.9257875,1600,400
5,last_token,0.825,0.010825317547305457,0.865,0.9141625,1600,400
6,last_token,0.82125,0.0175,0.8325,0.9029999999999999,1600,400
7,last_token,0.83375,0.008926785535678562,0.865,0.929475,1600,400
8,last_token,0.8300000000000001,0.007806247497997981,0.845,0.92505,1600,400
9,last_token,0.821875,0.009270248108869597,0.82,0.912625,1600,400
10,last_token,0.868125,0.009960860906568282,0.8725,0.9418625,1600,400
11,last_token,0.8593749999999998,0.007126096406869597,0.8525,0.9284749999999999,1600,400
12,last_token,0.865,0.018477181873868112,0.86,0.9404875,1600,400
13,last_token,0.86625,0.017388034679054455,0.8875,0.940725,1600,400
14,last_token,0.869375,0.016932771480180086,0.89,0.9479875,1600,400
15,last_token,0.8712500000000001,0.026472273230684202,0.8875,0.9500625,1600,400
16,last_token,0.8668750000000001,0.02161452058223824,0.8825,0.9532875000000001,1600,400
17,last_token,0.87625,0.02566308145955976,0.8975,0.95635,1600,400
18,last_token,0.8975,0.008477912478906582,0.8725,0.9507625,1600,400
19,last_token,0.8881249999999999,0.01159202311936963,0.8925,0.9539250000000001,1600,400
20,last_token,0.875,0.017897276329095442,0.88,0.9501000000000001,1600,400
21,last_token,0.874375,0.018477181873868077,0.8825,0.9465625,1600,400
22,last_token,0.869375,0.02282747795968708,0.875,0.9499749999999999,1600,400
23,last_token,0.8662500000000002,0.020766559657295174,0.8775,0.9404250000000001,1600,400
24,last_token,0.868125,0.0290070034646807,0.86,0.9307625,1600,400
25,last_token,0.8550000000000001,0.01612935987570495,0.8725,0.9401499999999999,1600,400
26,last_token,0.8574999999999999,0.01785357107135713,0.875,0.93515,1600,400
27,last_token,0.835,0.020194368026754388,0.8625,0.9337375,1600,400
28,last_token,0.8362499999999999,0.010569709078304842,0.865,0.936275,1600,400
0,mean,0.835,0.0030618621784789485,0.8425,0.9252750000000001,1600,400
1,mean,0.8318749999999999,0.014306903927824495,0.84,0.9246249999999999,1600,400
2,mean,0.8393750000000001,0.01563749500399602,0.855,0.9317249999999999,1600,400
3,mean,0.844375,0.01950560816790903,0.87,0.941025,1600,400
4,mean,0.8481249999999999,0.015512092057488564,0.8725,0.9338249999999999,1600,400
5,mean,0.8331250000000001,0.01363589014329463,0.8625,0.9418249999999999,1600,400
6,mean,0.843125,0.01960548392669765,0.86,0.9406125000000001,1600,400
7,mean,0.8450000000000001,0.008750000000000006,0.87,0.9454750000000001,1600,400
8,mean,0.8574999999999999,0.011625672023586412,0.8825,0.95205,1600,400
9,mean,0.8649999999999999,0.009354143466934861,0.8925,0.9479500000000001,1600,400
10,mean,0.8700000000000001,0.010383279828647592,0.8775,0.949075,1600,400
11,mean,0.8643750000000001,0.010193441518937536,0.8725,0.944125,1600,400
12,mean,0.8618750000000001,0.006959705453537544,0.875,0.9452,1600,400
13,mean,0.8643750000000001,0.007288689868556645,0.89,0.9594999999999999,1600,400
14,mean,0.8699999999999999,0.014059027349002513,0.8775,0.953325,1600,400
15,mean,0.8800000000000001,0.017743836958223014,0.915,0.954975,1600,400
16,mean,0.8825,0.013778379803155385,0.89,0.958575,1600,400
17,mean,0.881875,0.01970485346304305,0.91,0.9571000000000001,1600,400
18,mean,0.8825,0.011284668803292364,0.9125,0.95665,1600,400
19,mean,0.880625,0.018477181873868126,0.9075,0.95575,1600,400
20,mean,0.883125,0.015637495003995996,0.8875,0.9537,1600,400
21,mean,0.8793749999999999,0.016723860200324573,0.8925,0.95215,1600,400
22,mean,0.875625,0.013462912017836262,0.8925,0.950775,1600,400
23,mean,0.868125,0.013462912017836282,0.885,0.948975,1600,400
24,mean,0.8675,0.01525819451966715,0.8675,0.9457374999999999,1600,400
25,mean,0.858125,0.014334181176474616,0.8725,0.951075,1600,400
26,mean,0.8587499999999999,0.006673173907519562,0.88,0.951775,1600,400
27,mean,0.860625,0.008052561704203197,0.885,0.944375,1600,400
28,mean,0.8693750000000001,0.006673173907519583,0.88,0.9451499999999999,1600,400
