layer,head,test_accuracy,test_auroc
16,0,0.89,0.9523
16,1,0.8675,0.934425
16,2,0.88,0.93295
16,3,0.8725,0.9330750000000001
16,4,0.9075,0.9465
16,5,0.865,0.9156500000000001
16,6,0.8725,0.93655
16,7,0.8825,0.9342999999999999
16,8,0.8725,0.9279999999999999
16,9,0.89,0.9390999999999999
16,10,0.8675,0.9183749999999999
16,11,0.855,0.9104
16,12,0.875,0.95085
16,13,0.8975,0.9486499999999999
16,14,0.8675,0.9138375
16,15,0.835,0.872
18,0,0.875,0.919925
18,1,0.8875,0.934175
18,2,0.8475,0.90795
18,3,0.8825,0.93925
18,4,0.8675,0.9171250000000001
18,5,0.8525,0.908
18,6,0.8975,0.9466749999999999
18,7,0.9,0.9573499999999999
18,8,0.8825,0.9231125000000001
18,9,0.855,0.92685
18,10,0.8875,0.9410750000000001
18,11,0.9025,0.934025
18,12,0.8825,0.93725
18,13,0.885,0.944975
18,14,0.8925,0.93665
18,15,0.8475,0.9095249999999999
15,0,0.88,0.940925
15,1,0.8725,0.930975
15,2,0.89,0.9424
15,3,0.77,0.8691000000000001
15,4,0.85,0.9000750000000001
15,5,0.8625,0.9156
15,6,0.85,0.916175
15,7,0.87,0.9377249999999999
15,8,0.88,0.936525
15,9,0.8775,0.935525
15,10,0.88,0.9384750000000001
15,11,0.865,0.9240499999999999
15,12,0.8675,0.9270750000000001
15,13,0.865,0.93045
15,14,0.865,0.919075
15,15,0.875,0.91515
